title,genre
One Day Off,Drama
Psychopath Diary,Thriller
Psychopath Diary,Mystery
Psychopath Diary,Comedy
Psychopath Diary,Crime
True Beauty,Comedy
True Beauty,Romance
True Beauty,Youth
True Beauty,Drama
Five Enough,Comedy
Five Enough,Romance
Five Enough,Drama
Five Enough,Melodrama
The Nokdu Flower,Historical
The Nokdu Flower,War
The Nokdu Flower,Political
One Spring Night,Romance
One Spring Night,Life
One Spring Night,Drama
He Is Psychometric,Thriller
He Is Psychometric,Mystery
He Is Psychometric,Romance
He Is Psychometric,Supernatural
"At a Distance, Spring Is Green",Romance
"At a Distance, Spring Is Green",Life
"At a Distance, Spring Is Green",Youth
A Bloody Lucky Day,Thriller
A Bloody Lucky Day,Mystery
A Bloody Lucky Day,Psychological
A Bloody Lucky Day,Drama
Gaus Electronics,Business
Gaus Electronics,Comedy
Gaus Electronics,Romance
Gaus Electronics,Life
The Tale of Nokdu,Action
The Tale of Nokdu,Historical
The Tale of Nokdu,Comedy
The Tale of Nokdu,Romance
The Hymn of Death,Music
The Hymn of Death,Historical
The Hymn of Death,Romance
The Hymn of Death,Melodrama
Search: WWW,Business
Search: WWW,Comedy
Search: WWW,Romance
Search: WWW,Drama
Money Heist: Korea - Joint Economic Area - Part 1,Action
Money Heist: Korea - Joint Economic Area - Part 1,Thriller
Money Heist: Korea - Joint Economic Area - Part 1,Mystery
Money Heist: Korea - Joint Economic Area - Part 1,Crime
The King's Affection,Historical
The King's Affection,Romance
The King's Affection,Drama
Super Junior: The Last Man Standing,Music
Super Junior: The Last Man Standing,Documentary
The Beauty Inside,Comedy
The Beauty Inside,Romance
The Beauty Inside,Melodrama
The Beauty Inside,Supernatural
The Sound of Your Heart,Comedy
The Sound of Your Heart,Life
The Sound of Your Heart,Sitcom
God's Quiz: Reboot,Mystery
God's Quiz: Reboot,Medical
Confession,Thriller
Confession,Mystery
Confession,Law
Confession,Drama
Class of Lies,Thriller
Class of Lies,Mystery
Class of Lies,Law
Class of Lies,Youth
Rookie Cops,Romance
Rookie Cops,Life
Rookie Cops,Youth
Rookie Cops,Drama
Call It Love,Romance
Call It Love,Drama
Call It Love,Melodrama
Terius behind Me,Action
Terius behind Me,Mystery
Terius behind Me,Comedy
Terius behind Me,Romance
She Makes My Heart Flutter,Comedy
She Makes My Heart Flutter,Romance
Again My Life,Mystery
Again My Life,Law
Again My Life,Drama
Again My Life,Fantasy
Oh My Ghost,Thriller
Oh My Ghost,Comedy
Oh My Ghost,Romance
Oh My Ghost,Supernatural
Arthdal Chronicles: The Sword of Aramun,Action
Arthdal Chronicles: The Sword of Aramun,Historical
Arthdal Chronicles: The Sword of Aramun,Romance
Arthdal Chronicles: The Sword of Aramun,Fantasy
