title,genres,where_to_watch
Because This Is My First Life,"Comedy, Romance, Life, Drama","Apple TV, Disney+ Hotstar, Netflix, WeTV, Viki, iQIYI, VIU Indonesia, K-DRAMA, Tubi"
Castaway Diva,"Music, Comedy, Romance, Drama","Netflix, TVING"
Gyeongseong Creature,"Action, Thriller, Historical, Sci-Fi",Netflix
Dali and the Cocky Prince,"Comedy, Romance, Drama","Netflix, Viki, Prime Video, VIU Indonesia, Kocowa"
Lost,"Life, Drama, Melodrama","iQIYI, Prime Video, TVING"
Angel's Last Mission: Love,"Comedy, Romance, Drama, Fantasy","Apple TV, Netflix, Viki, iQIYI, Prime Video, KBS World, Kocowa"
Circle,"Thriller, Mystery, Sci-Fi","Apple TV, Tubi"
Seasons of Blossom,"Romance, Youth, Drama",Viki
If You Wish Upon Me,"Romance, Life, Drama, Medical","Viki, Wavve, VIU Indonesia, Hulu"
Summer Strike,"Life, Drama, Melodrama","Apple TV, Viki, Netflix"
Snowdrop,"Romance, Drama, Melodrama, Political","Apple TV, Disney+, Disney+ Hotstar"
The Crowned Clown,"Historical, Romance, Melodrama, Political","Netflix, WeTV, iQIYI, Prime Video, Viki, Tubi, Roku"
Duel,"Thriller, Mystery, Sci-Fi","Apple TV, Tubi"
"Work Later, Drink Now","Comedy, Life, Drama","Apple TV, Prime Video, TVING"
When the Camellia Blooms,"Thriller, Comedy, Romance, Drama",Netflix
Player,"Action, Thriller, Mystery, Comedy","Apple TV, WeTV, Viki, iQIYI, TVING"
See You in My 19th Life,"Comedy, Romance, Drama, Fantasy","Netflix, TVING"
Yumi's Cells,"Psychological, Comedy, Romance, Drama","Viki, iQIYI, TVING, Prime Video"
A Time Called You,"Thriller, Mystery, Romance, Fantasy",Netflix
My Country: The New Age,"Action, Historical, Romance, Drama",Netflix
Hello Monster,"Thriller, Mystery, Psychological, Drama","Apple TV, Viki, iQIYI, VIU Indonesia"
Tale of the Nine-Tailed,"Thriller, Horror, Romance, Fantasy","Netflix, WeTV, Viki, iQIYI, Prime Video, VIU Indonesia"
Train,"Thriller, Mystery, Fantasy","Viki, iQIYI, VIU Indonesia, Tubi, Roku"
My Unfamiliar Family,"Life, Drama","Apple TV, Netflix, Viki, iQIYI, Tubi, Roku"
The Veil,"Action, Thriller, Mystery, Crime","Viki, Prime Video, Kocowa"
Memorist,"Action, Thriller, Mystery, Supernatural","WeTV, Viki, iQIYI, VIU Indonesia, Tubi, Roku"
