title,genres,where_to_watch
Suspicious Partner,"Thriller, Comedy, Law, Romance",Apple TV
Leverage,"Action, Mystery, Comedy, Crime",iQIYI
Memory,"Law, Romance, Life, Drama",Apple TV
Graceful Family,"Thriller, Mystery, Drama, Melodrama",Viki
My Demon,"Action, Comedy, Romance, Fantasy",Netflix
Lawless Lawyer,"Action, Thriller, Law, Romance",Apple TV
Awaken,"Thriller, Mystery, Crime, Fantasy",Netflix
The Guardians,"Action, Thriller, Mystery, Law",Netflix
King the Land,"Comedy, Romance",Netflix
D-Day,"Drama, Medical",Viki
Celebrity,"Thriller, Mystery, Drama",Netflix
Missing Noir M,"Thriller, Mystery, Drama",
Oh My Venus,"Comedy, Law, Romance, Life",Apple TV
Watcher,"Thriller, Mystery, Drama, Political",Apple TV
The Story of Park's Marriage Contract,"Historical, Mystery, Romance, Fantasy",Wavve
Touch Your Heart,"Comedy, Law, Romance, Drama",Apple TV
The Smile Has Left Your Eyes,"Thriller, Mystery, Romance, Drama",Apple TV
Bulgasal: Immortal Souls,"Thriller, Mystery, Drama, Fantasy",Netflix
Angry Mom,"Comedy, Drama, Melodrama",Apple TV
Love in the Moonlight,"Historical, Comedy, Romance, Drama",Apple TV
Tell Me What You Saw,"Thriller, Mystery",Viki
Oh My Geum Bi,"Comedy, Drama, Melodrama",
Thirty-Nine,"Romance, Life, Drama",Netflix
Live Up to Your Name,"Historical, Romance, Medical, Fantasy",Netflix
Love Playlist Season 4,"Romance, Life, Youth, Drama",WeTV
Are You Human Too?,"Comedy, Romance, Sci-Fi, Fantasy",Viki
May I Help You,"Mystery, Romance, Drama, Supernatural",Apple TV
Song of the Bandits,"Action, Thriller, Historical, Drama",Netflix
Misty,"Thriller, Mystery, Romance, Melodrama",Disney+ Hotstar
Queen for Seven Days,"Historical, Romance, Melodrama, Political",Apple TV
Mine,"Thriller, Mystery, Drama",Netflix
Queenmaker,"Business, Drama, Political",Netflix
Welcome 2 Life,"Comedy, Law, Romance, Fantasy",Apple TV
Salon De Nabi,"Life, Drama",Prime Video
Rookie Historian Goo Hae Ryung,"Historical, Comedy, Romance, Drama",Netflix
Crazy Love,"Comedy, Romance, Drama",Disney+
Agency,"Business, Life, Drama",Netflix
A Korean Odyssey,"Horror, Comedy, Romance, Fantasy",Apple TV
Bad Prosecutor,"Action, Mystery, Comedy, Law",VIU Indonesia
Remember: War of the Son,"Thriller, Mystery, Law, Romance",Netflix
The Sound of Magic,"Music, Psychological, Drama, Fantasy",Apple TV
Who Are You: School 2015,"Mystery, Romance, Youth, Drama",Apple TV
May It Please the Court,"Mystery, Law, Drama",Disney+ Hotstar
The Good Detective Season 2,"Action, Thriller, Mystery, Drama",Viki
XX,"Business, Romance, Life, Drama",PlayList Global
Find Me in Your Memory,"Romance, Drama, Melodrama",Apple TV
Pegasus Market,"Business, Comedy, Drama",Apple TV
When the Weather Is Fine,"Romance, Life, Drama, Melodrama",Apple TV
The K2,"Action, Thriller, Psychological, Romance",Apple TV
Semantic Error,"Comedy, Romance, Life, Youth",Apple TV
Diary of a Prosecutor,"Mystery, Law, Life, Drama",Disney+ Hotstar
Chief of Staff Season 2,"Drama, Political",Netflix
Something about 1 Percent,"Comedy, Romance, Drama",Netflix
A Beautiful Mind,"Mystery, Psychological, Romance, Medical",Viki
Like Flowers in Sand,"Mystery, Comedy, Romance, Life",Netflix
Blue Birthday,"Thriller, Romance, Drama, Fantasy",WeTV
